providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Liberty Mutual Fire Insurance Company	12-08-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	17-06-2017
Liberty Mutual Fire Insurance Company	12-09-2016	Unfair Claims Practice	Claim Settled	Justified	9059	18-11-2014
Liberty Mutual Fire Insurance Company	01-06-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	26-07-2017
Liberty Mutual Fire Insurance Company	01-11-2017	Unfair Claims Practice	Additional Money Received	Justified	9072	09-11-2014
Liberty Mutual Fire Insurance Company	01-11-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19066	26-01-2015
Liberty Mutual Fire Insurance Company	01-19-2017	Unfair Claims Practice	Claim Settled	Unjustified	11064	26-01-2016
Liberty Mutual Fire Insurance Company	01-27-2017	Unfair Claims Practice	Contract Provision	Unjustified	11069	19-08-2014
Liberty Mutual Fire Insurance Company	02-01-2017	Unfair Claims Practice	Corrective Action	Justified	9064	16-07-2016
Liberty Mutual Fire Insurance Company	02-16-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	09-02-2013
Liberty Mutual Fire Insurance Company	02-27-2017	Unfair Claims Practice	Enter Arbitration	Questionable	12069	18-10-2013
Liberty Mutual Fire Insurance Company	03-10-2017	Unfair Claims Practice	Corrective Action	Justified	9064	22-02-2015
Liberty Mutual Fire Insurance Company	03-10-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	16-10-2014
Liberty Mutual Fire Insurance Company	06-28-2018	Marketing-Sales	Furnished Information	Furnished Information	21073	20-06-2015
Liberty Mutual Fire Insurance Company	03-20-2017	Underwriting	Non-Renewal Rescinded	Justified	9073	20-08-2016
Liberty Mutual Fire Insurance Company	03-20-2017	Unfair Claims Practice	Corrective Action	Justified	9069	01-10-2016
Liberty Mutual Fire Insurance Company	04-13-2017	Marketing-Sales	Company Position Upheld	Unjustified	11071	23-10-2014
Liberty Mutual Fire Insurance Company	05-02-2017	Unfair Claims Practice	Inter-Company Arbitration	Unjustified	11072	18-09-2014
Liberty Mutual Fire Insurance Company	05-04-2017	Premium and Rating	Premium Refund	Justified	9061	08-10-2013
Liberty Mutual Fire Insurance Company	05-04-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	09-11-2015
Liberty Mutual Fire Insurance Company	05-22-2017	Premium and Rating	Company Position Upheld	Voluntary Reconsider	20075	23-08-2017
Liberty Mutual Fire Insurance Company	05-24-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	10-08-2013
Liberty Mutual Fire Insurance Company	06-22-2017	Unfair Claims Practice	Additional Money Received	Questionable	12077	04-03-2013
Liberty Mutual Fire Insurance Company	07-19-2017	Unfair Claims Practice	Corrective Action	Questionable	12069	22-12-2015
Liberty Mutual Fire Insurance Company	07-24-2017	Unfair Claims Practice	Claim Settled	Justified	9065	11-12-2017
Liberty Mutual Fire Insurance Company	07-28-2017	Unfair Claims Practice	Claim Settled	Unjustified	11065	04-05-2017
Liberty Mutual Fire Insurance Company	08-08-2017	Unfair Claims Practice	Corrective Action	Questionable	12064	02-11-2016
Liberty Mutual Fire Insurance Company	08-10-2017	Premium and Rating	Company Position Upheld	Unjustified	11070	12-11-2013
ConnectiCare Benefits, Inc.	12-04-2014	Premium and Rating	Company Position Upheld	Unjustified	11060	24-05-2014
Liberty Mutual Fire Insurance Company	12-10-2014	Marketing-Sales	Company Position Upheld	Unjustified	11069	13-09-2016
Liberty Mutual Fire Insurance Company	12-17-2014	Premium and Rating	Company Position Upheld	Unjustified	11075	28-01-2016
Liberty Mutual Fire Insurance Company	01-13-2015	Premium and Rating	Corrective Action	Justified	9069	18-01-2014
Anthem Health Plans, Inc	01-22-2015	Marketing-Sales	Company Position Upheld	Unjustified	11062	11-12-2013
Liberty Mutual Fire Insurance Company	02-06-2015	Premium and Rating	Company Position Upheld	Unjustified	11070	11-01-2017
Liberty Mutual Fire Insurance Company	02-27-2015	Unfair Claims Practice	Claim Settled	Unjustified	11064	26-06-2016
Liberty Mutual Fire Insurance Company	03-31-2015	Premium and Rating	Company Position Upheld	Unjustified	11075	08-03-2013
Liberty Mutual Fire Insurance Company	06-04-2015	Unfair Claims Practice	Corrective Action	Justified	9063	23-12-2016
Liberty Mutual Fire Insurance Company	07-29-2015	Unfair Claims Practice	Corrective Action	Justified	9069	12-06-2017
Liberty Mutual Fire Insurance Company	08-21-2015	Premium and Rating	Company Position Upheld	Unjustified	11075	28-10-2013
Liberty Mutual Fire Insurance Company	10-06-2015	Premium and Rating	Company Position Upheld	Unjustified	11070	25-01-2013
Liberty Mutual Fire Insurance Company	11-17-2015	Marketing-Sales	Corrective Action	Justified	9069	27-03-2015
Liberty Mutual Fire Insurance Company	11-20-2015	Unfair Claims Practice	Claim Settled	Unjustified	11065	09-03-2013
Liberty Mutual Fire Insurance Company	11-25-2015	Marketing-Sales	Corrective Action	Justified	9069	15-09-2017
Liberty Mutual Fire Insurance Company	11-25-2015	Underwriting	Company Position Upheld	Unjustified	11075	22-07-2016
Liberty Mutual Fire Insurance Company	02-26-2016	Premium and Rating	Company Position Upheld	Unjustified	11075	06-04-2015
Liberty Mutual Fire Insurance Company	02-26-2016	Underwriting	Cancellation Upheld	Unjustified	11071	03-12-2014
Liberty Mutual Fire Insurance Company	04-18-2016	Unfair Claims Practice	Corrective Action	Justified	9069	28-12-2016
Anthem Health Plans, Inc	05-02-2016	Premium and Rating	Corrective Action	Voluntary Reconsider	20051	13-01-2013
Liberty Mutual Fire Insurance Company	08-10-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	19-02-2013
Liberty Mutual Fire Insurance Company	10-18-2016	Premium and Rating	Company Position Upheld	Unjustified	11075	25-05-2015
Liberty Mutual Fire Insurance Company	11-23-2016	Underwriting	Company Position Upheld	Unjustified	11075	18-12-2016
Liberty Mutual Fire Insurance Company	12-01-2016	Unfair Claims Practice	Corrective Action	Justified	9064	28-09-2013
Liberty Mutual Fire Insurance Company	01-27-2017	Premium and Rating	Company Position Upheld	Voluntary Reconsider	20075	11-09-2013
Liberty Mutual Fire Insurance Company	05-11-2017	Premium and Rating	Corrective Action	Justified	9064	20-06-2017
Liberty Mutual Fire Insurance Company	06-15-2017	Underwriting	Company Position Upheld	Unjustified	11075	01-03-2015
Liberty Mutual Fire Insurance Company	07-20-2017	Premium and Rating	Company Position Upheld	Unjustified	11074	04-11-2015
Liberty Mutual Fire Insurance Company	07-20-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	22-04-2014
Liberty Mutual Fire Insurance Company	07-27-2017	Premium and Rating	Company Position Upheld	Unjustified	11075	08-02-2013
Liberty Mutual Fire Insurance Company	07-27-2017	Premium and Rating	Premium Refund	Unjustified	11066	01-04-2014
Liberty Mutual Fire Insurance Company	08-07-2017	Underwriting	Company Position Upheld	Unjustified	11070	18-08-2015
Liberty Mutual Fire Insurance Company	11-30-2016	Unfair Claims Practice	Contract Provision	Unjustified	11070	18-04-2017
Liberty Mutual Fire Insurance Company	05-26-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21072	22-06-2017
Liberty Mutual Fire Insurance Company	02-16-2016	Unfair Claims Practice	Furnished Information	Unjustified	11073	07-06-2017
Liberty Mutual Fire Insurance Company	06-12-2018	Unfair Claims Practice	Coverage Extended	Furnished Information	21064	19-04-2016
Liberty Mutual Fire Insurance Company	09-11-2014	Premium and Rating	Company Position Upheld	Unjustified	11070	17-07-2016
Liberty Mutual Fire Insurance Company	04-28-2015	Underwriting	Company Position Upheld	Unjustified	11075	03-09-2017
Liberty Mutual Fire Insurance Company	04-28-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11075	03-04-2014
Liberty Mutual Fire Insurance Company	06-09-2015	Unfair Claims Practice	Refer To Appraisal	Unjustified	11065	25-07-2014
Liberty Mutual Fire Insurance Company	07-14-2015	Premium and Rating	Company Position Upheld	Unjustified	11074	11-04-2013
Liberty Mutual Fire Insurance Company	07-20-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	15-03-2016
Liberty Mutual Fire Insurance Company	08-31-2015	Unfair Claims Practice	Claim Settled	Unjustified	11065	07-03-2017
Liberty Mutual Fire Insurance Company	09-17-2015	Unfair Claims Practice	Contract Provision	Unjustified	11070	13-09-2015
Liberty Mutual Fire Insurance Company	11-18-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21073	03-03-2017
Liberty Mutual Fire Insurance Company	06-03-2016	Unfair Claims Practice	Claim Settled	Unjustified	11060	25-06-2017
Liberty Mutual Fire Insurance Company	09-21-2016	Underwriting	Non-Renewal Upheld	Unjustified	11069	24-05-2016
Liberty Mutual Fire Insurance Company	11-14-2016	Unfair Claims Practice	Claim Settled	Justified	9065	26-08-2015
HealthyCT, Inc.	11-23-2016	Premium and Rating	Company Position Upheld	Unjustified	11053	09-02-2018
Liberty Mutual Fire Insurance Company	01-27-2017	Unfair Claims Practice	Claim Settled	Unjustified	11065	10-01-2018
Liberty Mutual Fire Insurance Company	02-17-2017	Unfair Claims Practice	Contract Provision	Unjustified	11070	29-05-2016
Liberty Mutual Fire Insurance Company	02-22-2017	Unfair Claims Practice	Claim Settled	Unjustified	11065	09-03-2016
Liberty Mutual Fire Insurance Company	06-19-2017	Premium and Rating	Company Position Upheld	Unjustified	11075	01-12-2016
Liberty Mutual Fire Insurance Company	09-16-2015	Unfair Claims Practice	Corrective Action	Justified	9069	06-03-2014
Liberty Mutual Fire Insurance Company	07-31-2015	Unfair Claims Practice	Inter-Company Arbitration	Questionable	12076	29-01-2017
Liberty Mutual Fire Insurance Company	12-08-2015	Premium and Rating	Corrective Action	Questionable	12064	15-01-2014
Liberty Mutual Insurance Company	09-13-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	02-01-2016
Liberty Mutual Insurance Company	10-05-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	01-09-2016
Oxford Health Plans (CT), Inc	10-19-2016	Premium and Rating	Company Position Upheld	Unjustified	11067	06-06-2016
Liberty Mutual Insurance Company	08-01-2017	Unfair Claims Practice	Claim Settled	Unjustified	11055	21-04-2015
Liberty Mutual Insurance Company	05-07-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21063	20-05-2015
Liberty Mutual Insurance Company	04-06-2016	Premium and Rating	Company Position Upheld	Unjustified	11065	24-11-2015
Liberty Mutual Insurance Company	04-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	17-04-2015
Liberty Mutual Insurance Company	08-26-2015	Unfair Claims Practice	Corrective Action	Justified	9063	12-08-2015
Liberty Mutual Insurance Company	03-28-2016	Underwriting	Non-Renewal Upheld	Unjustified	11065	18-06-2015
Liberty Mutual Insurance Company	08-04-2016	Underwriting	Cancellation Withdrawn	Justified	9063	26-07-2014
Liberty Mutual Insurance Company	11-10-2016	Premium and Rating	Corrective Action	Justified	9059	17-04-2015
Liberty Mutual Insurance Company	11-21-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	02-03-2013
Liberty Mutual Insurance Company	02-17-2017	Unfair Claims Practice	Refer To Appraisal	Unjustified	11065	21-07-2014
Liberty Mutual Insurance Company	11-20-2014	Unfair Claims Practice	Additional Money Received	Unjustified	11072	14-04-2017
Liberty Mutual Insurance Company	12-10-2014	Premium and Rating	Premium Refund	Questionable	12056	20-02-2018
Liberty Mutual Insurance Company	03-12-2015	Unfair Claims Practice	Contract Provision	Unjustified	11060	30-01-2016
Liberty Mutual Insurance Company	03-31-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11070	05-11-2015
Liberty Mutual Insurance Company	04-08-2015	Unfair Claims Practice	Corrective Action	Justified	9059	05-11-2017
Liberty Mutual Insurance Company	04-09-2015	Unfair Claims Practice	Corrective Action	Questionable	12059	22-03-2017
Life Insurance Company of North America	04-23-2015	Unfair Claims Practice	Corrective Action	Justified	9071	10-09-2015
Life Insurance Company of North America	07-15-2015	Unfair Claims Practice	Contract Provision	Unjustified	11072	05-10-2015
Anthem Health Plans, Inc	07-28-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11056	10-10-2014
Life Insurance Company of North America	08-03-2015	Unfair Claims Practice	Corrective Action	Justified	9066	28-01-2013
Life Insurance Company of North America	08-19-2015	Unfair Claims Practice	Enter Arbitration	Unjustified	11070	21-06-2017
Life Insurance Company of North America	11-03-2015	Underwriting	Non-Renewal Rescinded	Justified	9070	27-10-2016
Life Insurance Company of North America	11-05-2015	Underwriting	Contract Provision	Unjustified	11067	10-08-2014
Life Insurance Company of North America	11-18-2015	Premium and Rating	Corrective Action	Unjustified	11071	18-10-2015
Life Insurance Company of North America	03-24-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11077	25-04-2014
Anthem Health Plans, Inc	03-24-2016	Underwriting	Cancellation Upheld	Unjustified	11058	16-07-2013
Lincoln Benefit Life Company	08-15-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	24-10-2014
Anthem Health Plans, Inc	08-15-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11062	03-04-2016
Lincoln Benefit Life Company	09-28-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	22-04-2015
Lincoln Benefit Life Company	09-28-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	22-01-2014
Lincoln Benefit Life Company	06-14-2018	Utilization Review	Furnished Information	Furnished Information	21064	23-02-2016
Lincoln Heritage Life Insurance Company	06-10-2015	Marketing-Sales	Company Position Upheld	Unjustified	11072	17-06-2016
Lincoln Heritage Life Insurance Company	08-20-2015	Marketing-Sales	Company Position Upheld	Unjustified	11076	16-06-2014
Lincoln Heritage Life Insurance Company	01-12-2016	Premium and Rating	Company Position Upheld	Unjustified	11072	01-11-2013
Lincoln Heritage Life Insurance Company	07-26-2016	Premium and Rating	Contract Provision	Unjustified	11072	16-11-2016
Lincoln Heritage Life Insurance Company	10-17-2016	Marketing-Sales	Furnished Information	Unjustified	11075	31-10-2017
Lincoln Heritage Life Insurance Company	12-14-2016	Marketing-Sales	Company Position Upheld	Unjustified	11077	27-06-2014
Lincoln Life & Annuity Company of New York	05-11-2017	Marketing-Sales	Contract Provision	Unjustified	11070	29-05-2013
Lincoln Life & Annuity Company of New York	05-10-2017	Premium and Rating	Furnished Information	Furnished Information	21073	22-08-2016
Lincoln National Life Insurance Company (The)	08-22-2017	Premium and Rating	Furnished Information	No Action Necessary	19081	25-08-2015
Lincoln National Life Insurance Company (The)	02-17-2017	Premium and Rating	Premium Refund	Unjustified	11074	02-03-2013
Lincoln National Life Insurance Company (The)	12-31-2014	Unfair Claims Practice	Company Position Upheld	Unjustified	11083	15-12-2014
Lincoln National Life Insurance Company (The)	02-11-2015	Underwriting	Non-Renewal Rescinded	Justified	9076	15-01-2014
Lincoln National Life Insurance Company (The)	02-11-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	16-09-2015
ConnectiCare Benefits, Inc.	03-12-2015	Unfair Claims Practice	Coverage Granted	Unjustified	11053	11-11-2013
Lincoln National Life Insurance Company (The)	03-31-2015	Unfair Claims Practice	Contract Provision	Unjustified	11078	19-07-2013
Lincoln National Life Insurance Company (The)	04-13-2015	Underwriting	Company Position Upheld	Unjustified	11083	20-01-2015
Lincoln National Life Insurance Company (The)	04-13-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11083	23-05-2014
Lincoln National Life Insurance Company (The)	07-01-2015	Underwriting	Contract Provision	Unjustified	11073	18-03-2016
Lincoln National Life Insurance Company (The)	07-01-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	10-02-2015
Lincoln National Life Insurance Company (The)	07-02-2015	Underwriting	Company Position Upheld	Unjustified	11078	01-04-2016
Lincoln National Life Insurance Company (The)	07-15-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11083	10-10-2014
Lincoln National Life Insurance Company (The)	07-23-2015	Unfair Claims Practice	Corrective Action	Questionable	12077	09-01-2013
Lincoln National Life Insurance Company (The)	02-26-2016	Underwriting	Company Position Upheld	Unjustified	11083	23-04-2014
Lincoln National Life Insurance Company (The)	04-08-2016	Premium and Rating	Company Position Upheld	Unjustified	11078	13-05-2017
Lincoln National Life Insurance Company (The)	06-02-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	19-10-2016
Lincoln National Life Insurance Company (The)	07-08-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	09-10-2017
Lincoln National Life Insurance Company (The)	07-08-2016	Unfair Claims Practice	Contract Provision	Unjustified	11073	02-02-2014
Lincoln National Life Insurance Company (The)	08-02-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	15-10-2015
Lincoln National Life Insurance Company (The)	08-02-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	30-06-2017
Lincoln National Life Insurance Company (The)	10-12-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11078	18-08-2017
Cigna HealthCare of Connecticut, Inc	01-18-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	29-06-2017
LM General Insurance Company	01-23-2017	Unfair Claims Practice	Contract Provision	Unjustified	11061	22-02-2016
Cigna HealthCare of Connecticut, Inc	06-23-2017	FOI Inquiry	Record Only	No Action Necessary	19062	17-01-2014
LM General Insurance Company	02-09-2015	Underwriting	Cancellation Withdrawn	Unjustified	11059	05-02-2013
LM General Insurance Company	06-16-2015	Unfair Claims Practice	Contract Provision	Unjustified	11061	04-06-2013
LM General Insurance Company	09-03-2015	Marketing-Sales	Company Position Upheld	Unjustified	11061	18-05-2015
LM General Insurance Company	10-24-2016	Unfair Claims Practice	Contract Provision	Unjustified	11061	11-08-2016
LM General Insurance Company	02-13-2017	Unfair Claims Practice	Insufficient Information	No Action Necessary	19067	13-09-2014
LM General Insurance Company	05-09-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11060	07-10-2014
LM General Insurance Company	05-22-2017	Unfair Claims Practice	Coverage Granted	Justified	9059	21-12-2014
LM General Insurance Company	07-10-2017	Unfair Claims Practice	Corrective Action	Justified	9055	09-11-2014
LM General Insurance Company	02-26-2015	Premium and Rating	Company Position Upheld	Unjustified	11066	29-07-2016
LM General Insurance Company	07-17-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21056	30-12-2016
LM General Insurance Company	03-18-2015	Premium and Rating	Premium Refund	Voluntary Reconsider	20057	17-03-2013
LM General Insurance Company	05-04-2015	Premium and Rating	Premium Refund	Justified	9052	12-01-2016
LM General Insurance Company	06-01-2015	Unfair Claims Practice	Claim Settled	Unjustified	11051	26-08-2013
LM General Insurance Company	07-07-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	04-10-2017
LM General Insurance Company	07-13-2015	Unfair Claims Practice	Claim Settled	Unjustified	11056	04-03-2017
LM General Insurance Company	07-24-2015	Unfair Claims Practice	Refer To Appraisal	Unjustified	11061	29-04-2016
LM General Insurance Company	09-08-2015	Unfair Claims Practice	Corrective Action	Justified	9055	08-01-2015
LM General Insurance Company	09-10-2015	Unfair Claims Practice	Claim Settled	Unjustified	11051	14-11-2015
LM General Insurance Company	09-29-2015	Unfair Claims Practice	Claim Settled	Unjustified	11055	11-07-2017
LM General Insurance Company	10-06-2015	Premium and Rating	Company Position Upheld	Unjustified	11060	08-07-2015
LM General Insurance Company	10-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	25-01-2016
LM General Insurance Company	10-07-2015	Underwriting	Non-Renewal Upheld	Unjustified	11056	02-07-2016
LM General Insurance Company	10-15-2015	Unfair Claims Practice	Corrective Action	Justified	9060	04-03-2015
LM General Insurance Company	11-13-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	01-02-2017
LM General Insurance Company	12-18-2015	Unfair Claims Practice	Claim Settled	Unjustified	11056	01-02-2016
LM General Insurance Company	12-31-2015	Unfair Claims Practice	Contract Provision	Unjustified	11061	26-10-2017
LM General Insurance Company	01-13-2016	Unfair Claims Practice	Additional Money Received	Justified	9068	07-06-2015
LM General Insurance Company	01-19-2016	Unfair Claims Practice	Corrective Action	Justified	9060	14-05-2013
LM General Insurance Company	02-03-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	26-01-2015
LM General Insurance Company	03-10-2016	Unfair Claims Practice	Claim Settled	Unjustified	11051	14-10-2013
LM General Insurance Company	04-18-2016	Unfair Claims Practice	Claim Settled	Unjustified	11056	20-03-2013
LM General Insurance Company	04-27-2016	Premium and Rating	Company Position Upheld	Unjustified	11066	20-08-2013
LM General Insurance Company	04-27-2016	Premium and Rating	Company Position Upheld	Unjustified	11066	25-04-2017
LM General Insurance Company	06-15-2016	Premium and Rating	Corrective Action	Justified	9060	13-11-2013
LM General Insurance Company	06-22-2016	Premium and Rating	Company Position Upheld	Unjustified	11066	23-07-2017
LM General Insurance Company	06-29-2016	Unfair Claims Practice	Claim Settled	Unjustified	11055	16-02-2013
LM General Insurance Company	06-29-2016	Unfair Claims Practice	Claim Settled	Unjustified	11056	25-07-2013
LM General Insurance Company	07-05-2016	Unfair Claims Practice	Additional Money Received	Unjustified	11063	28-11-2017
LM General Insurance Company	09-12-2016	Unfair Claims Practice	Contract Provision	Unjustified	11056	21-10-2017
LM General Insurance Company	10-11-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	14-05-2016
LM General Insurance Company	10-12-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	28-07-2015
LM General Insurance Company	12-29-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	04-08-2013
LM General Insurance Company	01-12-2017	Premium and Rating	Corrective Action	Voluntary Reconsider	20055	23-09-2016
LM General Insurance Company	01-23-2017	Premium and Rating	Company Position Upheld	Unjustified	11064	07-06-2014
LM General Insurance Company	02-23-2017	Underwriting	Cancellation Upheld	Unjustified	11062	19-10-2017
LM General Insurance Company	02-23-2017	Unfair Claims Practice	Policy Not In Force	Unjustified	11062	28-08-2016
LM General Insurance Company	03-02-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11061	13-09-2017
LM General Insurance Company	03-28-2017	Premium and Rating	Corrective Action	Justified	9057	10-11-2013
LM General Insurance Company	04-03-2017	Unfair Claims Practice	Claim Settled	Unjustified	11051	24-08-2016
Harvard Pilgrim Health Care of Connecticut, Inc.	04-26-2017	Marketing-Sales	Corrective Action	Justified	9080	10-01-2018
Harvard Pilgrim Health Care of Connecticut, Inc.	05-09-2017	Unfair Claims Practice	Contract Provision	Unjustified	11076	18-07-2017
LM General Insurance Company	05-10-2017	Premium and Rating	Company Position Upheld	Unjustified	11061	11-07-2017
LM General Insurance Company	07-10-2017	Premium and Rating	Company Position Upheld	Unjustified	11060	03-01-2014
LM General Insurance Company	07-18-2017	Premium and Rating	Company Position Upheld	Unjustified	11066	21-08-2015
LM General Insurance Company	10-23-2014	Marketing-Sales	Corrective Action	Unjustified	11060	19-06-2013
LM General Insurance Company	01-16-2015	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19062	07-04-2013
LM General Insurance Company	01-29-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21066	19-10-2013
LM General Insurance Company	02-11-2015	Marketing-Sales	Company Position Upheld	Unjustified	11061	19-09-2017
LM General Insurance Company	05-01-2018	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20051	08-12-2013
LM General Insurance Company	03-05-2018	Premium and Rating	Satisfied	Justified	9047	25-02-2016
LM General Insurance Company	06-22-2018	Premium and Rating	Furnished Information	Furnished Information	21064	12-05-2014
LM General Insurance Company	03-19-2015	Premium and Rating	Furnished Information	Furnished Information	21064	16-09-2016
LM General Insurance Company	06-18-2018	Unfair Claims Practice	Claim Paid With Interest	Justified	9067	11-08-2016
LM General Insurance Company	03-25-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21064	28-10-2017
LM General Insurance Company	03-31-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21066	07-07-2014
LM General Insurance Company	04-09-2015	Marketing-Sales	Company Position Upheld	Unjustified	11061	17-07-2014
LM General Insurance Company	04-23-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21066	31-07-2013
LM General Insurance Company	04-27-2015	Unfair Claims Practice	Corrective Action	Furnished Information	21060	15-11-2014
LM General Insurance Company	05-05-2015	Premium and Rating	Contract Provision	Unjustified	11056	10-01-2013
LM General Insurance Company	05-11-2015	Marketing-Sales	Contract Provision	Unjustified	11056	08-04-2015
LM General Insurance Company	05-18-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	31-10-2013
LM General Insurance Company	06-10-2015	Unfair Claims Practice	Furnished Information	Unjustified	11059	27-04-2015
LM General Insurance Company	06-24-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21066	16-10-2015
LM General Insurance Company	07-01-2015	Unfair Claims Practice	Claim Settled	Furnished Information	21051	07-07-2013
LM General Insurance Company	07-13-2015	Marketing-Sales	Premium Refund	Furnished Information	21057	10-08-2017
LM General Insurance Company	08-11-2015	Premium and Rating	Company Position Upheld	Unjustified	11061	03-06-2016
LM General Insurance Company	08-14-2015	Marketing-Sales	Furnished Information	Unjustified	11064	05-02-2014
LM General Insurance Company	08-19-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21064	09-06-2017
LM General Insurance Company	08-28-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21065	28-05-2013
LM General Insurance Company	09-16-2015	Marketing-Sales	Corrective Action	Unjustified	11060	07-12-2014
LM General Insurance Company	09-22-2015	Premium and Rating	Contract Provision	Unjustified	11061	28-11-2013
LM General Insurance Company	10-01-2015	Unfair Claims Practice	Contract Provision	Unjustified	11056	23-04-2015
LM General Insurance Company	10-19-2015	Marketing-Sales	Company Position Upheld	Unjustified	11066	14-02-2014
LM General Insurance Company	11-06-2015	Marketing-Sales	Company Position Upheld	Unjustified	11061	06-06-2017
LM General Insurance Company	11-16-2015	Marketing-Sales	Company Position Upheld	Unjustified	11066	30-01-2018
LM General Insurance Company	12-09-2015	Premium and Rating	Rate Increase Explained	Furnished Information	21061	14-06-2014
LM General Insurance Company	12-09-2015	Marketing-Sales	Corrective Action	Unjustified	11055	04-05-2016
LM General Insurance Company	12-14-2015	Unfair Claims Practice	Claim Settled	Justified	9056	20-07-2017
LM General Insurance Company	12-17-2015	Unfair Claims Practice	Furnished Information	Furnished Information	21064	25-10-2017
LM General Insurance Company	12-30-2015	Marketing-Sales	Contract Provision	Unjustified	11061	03-02-2013
LM General Insurance Company	05-03-2016	Premium and Rating	Contract Provision	Unjustified	11056	16-09-2014
LM General Insurance Company	05-06-2016	Marketing-Sales	Contract Provision	Unjustified	11056	18-01-2013
LM General Insurance Company	06-22-2018	Premium and Rating	Furnished Information	Furnished Information	21063	06-12-2015
Golden Rule Insurance Company	05-16-2016	Unfair Claims Practice	Claim Paid With Interest	Justified	9068	18-11-2016
LM General Insurance Company	05-20-2016	Marketing-Sales	Furnished Information	Furnished Information	21064	13-07-2014
LM General Insurance Company	06-16-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	17-04-2016
LM General Insurance Company	06-22-2016	Marketing-Sales	Corrective Action	Unjustified	11060	21-04-2013
LM General Insurance Company	06-29-2016	Marketing-Sales	Complaint Withdrawn	No Action Necessary	19062	18-03-2015
LM General Insurance Company	06-30-2016	Premium and Rating	Rate Increase Explained	Furnished Information	21066	15-03-2017
LM General Insurance Company	06-18-2018	Unfair Claims Practice	Claim Paid With Interest	Justified	9067	31-01-2018
LM General Insurance Company	07-19-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21061	08-06-2014
LM General Insurance Company	08-11-2016	Premium and Rating	Rate Increase Explained	Furnished Information	21061	28-01-2015
LM General Insurance Company	09-09-2016	Premium and Rating	Rate Increase Explained	Furnished Information	21060	23-07-2014
