PROPRIETARYNAME	DOSAGEFORMNAME	LABELERNAME	SUBSTANCENAME	PHARM_CLASSES	
Fluoxetine Hydrochloride	"TABLET, FILM COATED"	AbbVie Inc.	CASEIN	"Hepatitis C Virus NS5A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 1A2 Inhibitors [MoA],UGT1A1 Inhibitors [MoA],Hepatitis C Virus NS3/4A Protease Inhibitor [EPC],HCV NS3/4A Protease Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 1A2 Inhibitors [MoA],UGT1A1 Inhibitors [MoA]"	783
Rocaltrol	SUSPENSION	AbbVie Inc.	CELERY	"Aromatic Amino Acid [EPC],Amino Acids, Aromatic [Chemical/Ingredient]"	105
benzonatate	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	CHERRY	"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC],Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA]"	275
Nuvigil	TABLET	AbbVie Inc.	CHICKEN	"Opioid Agonist [EPC],Opioid Agonists [MoA]"	73
PRAMIPEXOLE DIHYDROCHLORIDE	TABLET	AbbVie Inc.	CINNAMON	"Opioid Agonist [EPC],Opioid Agonists [MoA]"	94
DONNATAL	TABLET	AbbVie Inc.	NORTHERN QUAHOG	"Opioid Agonist [EPC],Opioid Agonists [MoA]"	82
CAFERGOT	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	CLAM	"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC],Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA]"	270
DARAPRIM	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	COCOA	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	119
Erythrocin Stearate	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	COCOA BEAN	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	135
IBU	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	COCONUT	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	116
Methylprednisolone	CAPSULE	AbbVie Inc.	COFFEE BEAN	"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	190
LODOSYN	CAPSULE	AbbVie Inc.	RED KING CRAB	"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	181
EDECRIN	"CAPSULE, DELAYED RELEASE"	AbbVie Inc.	CRAB	Peroxisome Proliferator Receptor alpha Agonist [EPC]	98
Triamterene and Hydrochlorothiazide	"CAPSULE, DELAYED RELEASE"	AbbVie Inc.	CUCUMBER	Peroxisome Proliferator Receptor alpha Agonist [EPC]	130
Mephyton	TABLET	AbbVie Inc.	EGG WHITE	Peroxisome Proliferator Receptor alpha Agonist [EPC]	86
Lialda	TABLET	AbbVie Inc.	EGG	Peroxisome Proliferator Receptor alpha Agonist [EPC]	78
Riluzole	"TABLET, FILM COATED"	AbbVie Inc.	EGG YOLK	"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"	119
"Dibasic Sodium Phosphate, Monobasic Potassium Phosphate and Monobasic Sodium Phosphate"	"TABLET, FILM COATED"	AbbVie Inc.	FLOUNDER	"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"	197
Venlafaxine	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	GRAPE	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	122
Entacapone	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	KARAYA GUM	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	126
Sulfasalazine	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	HONEYDEW MELON	"Nicotinic Acid [EPC],Nicotinic Acids [Chemical/Ingredient]"	133
Ergocalciferol	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	LAMB	"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC],Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA]"	276
Misoprostol	"TABLET, FILM COATED"	AbbVie Inc.	LEMON	"Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"	119
Carbidopa	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	LETTUCE	"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	325
Norethindrone Acetate	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	LIMA BEAN	"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	339
Rugby	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	AMERICAN LOBSTER	"Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA],Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	330
amiloride hydrocloride	"TABLET, FILM COATED"	AbbVie Inc.	LOBSTER	"UDP Glucuronosyltransferases Inducers [MoA],HIV Protease Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA]"	559
Trazodone Hydrochloride	POWDER	AbbVie Inc.	COW MILK	"UDP Glucuronosyltransferases Inducers [MoA],HIV Protease Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA]"	548
Ketotifen Fumarate	TABLET	AbbVie Inc.	EASTERN OYSTER	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	98
kaiser permanente benzoyl peroxide	"TABLET, CHEWABLE"	AbbVie Inc.	OYSTER	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE]"	164
fluvoxamine maleate	"INJECTION, SOLUTION"	AbbVie Inc.	PEACH	"Tumor Necrosis Factor Blocker [EPC],Tumor Necrosis Factor Receptor Blocking Activity [MoA],Antibodies, Monoclonal [Chemical/Ingredient]"	189
Midodrine HCl	"TABLET, EXTENDED RELEASE"	AbbVie Inc.	PEAR	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	171
Metolazone	SOLUTION	AbbVie Inc.	PECAN	"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],UDP Glucuronosyltransferases Inducers [MoA],HIV Protease Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA]"	717
Ticlopidine Hydrochloride	"CAPSULE, LIQUID FILLED"	AbbVie Inc.	GREEN BELL PEPPER	"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"	136
Nitrofurantoin (monohydrate/macrocrystals)	"CAPSULE, LIQUID FILLED"	AbbVie Inc.	BLACK PEPPER	"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"	148
Zonisamide	TABLET	AbbVie Inc.	PISTACHIO	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	85
Benazepril Hydrochloride and Hydrochlorothiazide	INJECTION	AbbVie Inc.	PORK	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	159
Fosinopril Sodium and Hydrochlorothiazide	INJECTION	AbbVie Inc.	SWEET POTATO	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	160
phentermine hydrochloride	INJECTION	AbbVie Inc.	POTATO	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	138
Bisoprolol Fumarate and Hydrochlorothiazide	INJECTION	AbbVie Inc.	BROWN RICE	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	160
Carisoprodol and Aspirin	INJECTION	AbbVie Inc.	RICE	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	135
"Carisoprodol, Aspirin and Codeine Phosphate"	INJECTION	AbbVie Inc.	RYE	"Neuromuscular Nondepolarizing Blockade [PE],Nondepolarizing Neuromuscular Blocker [EPC]"	153
Sulfadiazine	LIQUID	AbbVie Inc.	ATLANTIC SALMON	"General Anesthesia [PE],General Anesthetic [EPC]"	92
cholestyramine light	LIQUID	AbbVie Inc.	SALMON	"General Anesthesia [PE],General Anesthetic [EPC]"	91
Cholestyramine	TABLET	AbbVie Inc.	SESAME SEED	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	91
Quinidine Sulfate	"INJECTION, SOLUTION"	AbbVie Inc.	COMMON SHRIMP	"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"	121
Phendimetrazine Tartrate	TABLET	AbbVie Inc.	SHRIMP	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	96
Eplerenone	"CAPSULE, LIQUID FILLED"	AbbVie Inc.	SOYBEAN	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	169
Leuprolide Acetate	SOLUTION	AbbVie Inc.	SPINACH	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	163
ATACAND	CAPSULE	AbbVie Inc.	SQUASH	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	150
ATACAND HCT	TABLET	AbbVie Inc.	STRAWBERRY	Peroxisome Proliferator Receptor alpha Agonist [EPC]	90
SYMBICORT	TABLET	AbbVie Inc.	CORN	Peroxisome Proliferator Receptor alpha Agonist [EPC]	82
PRILOSEC	"TABLET, DELAYED RELEASE"	AbbVie Inc.	TOMATO	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	167
ENTOCORT	"TABLET, DELAYED RELEASE"	AbbVie Inc.	NORTHERN BLUEFIN TUNA	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	182
BRILINTA	"TABLET, DELAYED RELEASE"	AbbVie Inc.	TUNA	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	165
TOPROL	TABLET	AbbVie Inc.	VANILLA	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	79
PULMICORT RESPULES	TABLET	AbbVie Inc.	ENGLISH WALNUT	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	98
NEXIUM	CAPSULE	AbbVie Inc.	WATERMELON	"UDP Glucuronosyltransferases Inducers [MoA],HIV Protease Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA]"	534
Siliq	"TABLET, FILM COATED"	AbbVie Inc.	WHEAT	"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 3A Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],UDP Glucuronosyltransferases Inducers [MoA],HIV Protease Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Cytochrome P450 2C19 Inducers [MoA],Cytochrome P450 3A Inducers [MoA],P-Glycoprotein Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],Cytochrome P450 1A2 Inducers [MoA],Cytochrome P450 2C9 Inducers [MoA],Cytochrome P450 2B6 Inducers [MoA]"	723
Virazole	TABLET	AbbVie Inc.	TEA LEAF	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	82
Ammonul	TABLET	AbbVie Inc.	ORRIS	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	78
Iprivask	TABLET	AbbVie Inc.	PYRETHRUM CINERARIIFOLIUM	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	99
Ativan	"TABLET, EXTENDED RELEASE"	AbbVie Inc.	ACREMONIUM STRICTUM	"Anti-epileptic Agent [EPC],Decreased Central Nervous System Disorganized Electrical Activity [PE],Mood Stabilizer [EPC]"	179
Vasotec	TABLET	AbbVie Inc.	KHUSKIA ORYZAE	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	87
Vaseretic	TABLET	AbbVie Inc.	KOCHIA SCOPARIA POLLEN	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	97
Isordil	SOLUTION	AbbVie Inc.	IVA XANTHIFOLIA POLLEN	"Calcineurin Inhibitor Immunosuppressant [EPC],Calcineurin Inhibitors [MoA],Cytochrome P450 3A4 Inhibitors [MoA],P-Glycoprotein Inhibitors [MoA]"	191
Migranal	"TABLET, FILM COATED, EXTENDED RELEASE"	AbbVie Inc.	IVA ANNUA VAR. ANNUA POLLEN	"Potassium Compounds [Chemical/Ingredient],Potassium Salt [EPC],Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA]"	293
ZELAPAR	"CAPSULE, LIQUID FILLED"	AbbVie Inc.	CHENOPODIUM AMBROSIOIDES POLLEN	"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"	132
Oxsoralen-Ultra	"CAPSULE, LIQUID FILLED"	AbbVie Inc.	LOLIUM PERENNE SSP. MULTIFLORUM POLLEN	"Cholecalciferol [Chemical/Ingredient],Vitamin D3 Analog [EPC]"	147
Diastat	"CAPSULE, DELAYED RELEASE"	AbbVie Inc.	ARTEMISIA ANNUA POLLEN	Peroxisome Proliferator Receptor alpha Agonist [EPC]	116
Cardizem	TABLET	AbbVie Inc.	DERMATOPHAGOIDES FARINAE; DERMATOPHAGOIDES PTERONYSSINUS	"l-Thyroxine [EPC],Thyroxine [Chemical/Ingredient]"	130
Tasmar	"CAPSULE, DELAYED RELEASE"	AbbVie Inc.	CYNODON DACTYLON; BROMUS INERMIS POLLEN; SORGHUM HALEPENSE POLLEN	Peroxisome Proliferator Receptor alpha Agonist [EPC]	158
CeraVe	TABLET	sanofi-aventis U.S. LLC	PHLEUM PRATENSE POLLEN; DACTYLIS GLOMERATA POLLEN; POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN; ANTHOXANTHUM ODORATUM POLLEN	"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"	350
Timoptic	TABLET	sanofi-aventis U.S. LLC	PHLEUM PRATENSE; DACTYLIS GLOMERATA; POA PRATENSIS; AGROSTIS GIGANTEA POLLEN; ANTHOXANTHUM ODORATUM	"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"	324
AcneFree Clear Skin Treatments	INJECTION	sanofi-aventis U.S. LLC	PHLEUM PRATENSE; DACTYLIS GLOMERATA; POA PRATENSIS; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS; LOLIUM PERENNE	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	259
AcneFree Sensitive	INJECTION	sanofi-aventis U.S. LLC	PHLEUM PRATENSE; DACTYLIS GLOMERATA; POA PRATENSIS; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS; LOLIUM PERENNE; ANTHOXANTHUM ODORATUM	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	270
AcneFree	INJECTION	sanofi-aventis U.S. LLC	CYNODON DACTYLON; SORGHUM HALEPENSE POLLEN; PHLEUM PRATENSE; DACTYLIS GLOMERATA; POA PRATENSIS; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS; LOLIUM PERENNE	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	281
AcneFree Severe Terminator	INJECTION	sanofi-aventis U.S. LLC	CYNODON DACTYLON; SORGHUM HALEPENSE POLLEN; PHLEUM PRATENSE; DACTYLIS GLOMERATA; POA PRATENSIS; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS; LOLIUM PERENNE; ANTHOXANTHUM ODORATUM	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	322
ACNEFREE THERAPEUTIC SULFUR MASK	INJECTION	sanofi-aventis U.S. LLC	ALNUS RHOMBIFOLIA POLLEN; FRAXINUS AMERICANA POLLEN; ULMUS CRASSIFOLIA POLLEN; BETULA LENTA WHOLE; ACER SACCHARINUM POLLEN; CARYA OVATA POLLEN; QUERCUS ALBA POLLEN; POPULUS ALBA POLLEN; PLATANUS OCCIDENTALIS POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	364
TheraSeal	INJECTION	sanofi-aventis U.S. LLC	ALNUS RHOMBIFOLIA POLLEN; FRAXINUS AMERICANA POLLEN; ULMUS CRASSIFOLIA POLLEN; BETULA LENTA POLLEN; ACER SACCHARUM POLLEN; CARYA OVATA POLLEN; QUERCUS ALBA POLLEN; POPULUS ALBA POLLEN; PLATANUS OCCIDENTALIS POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	340
CeraVe Itch Relief Moisturizing	"SPRAY, METERED"	sanofi-aventis U.S. LLC	BETULA POPULIFOLIA POLLEN; BETULA NIGRA POLLEN	"Corticosteroid [EPC],Corticosteroid Hormone Receptor Agonists [MoA]"	181
Cardizem LA	SOLUTION	sanofi-aventis U.S. LLC	GIBBERELLA ZEAE; ASPERGILLUS NIGER VAR. NIGER; ASPERGILLUS REPENS; ASPERGILLUS FLAVUS VAR. ORYZAE; ASPERGILLUS TERREUS; PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM; PHOMA EXIGUA VAR. EXIGUA	"Factor VIII Activator [EPC],Increased Coagulation Factor VIII Activity [PE],Increased Coagulation Factor VIII Concentration [PE],Vasopressin Analog [EPC],Vasopressins [Chemical/Ingredient]"	416
Syprine	INJECTION	sanofi-aventis U.S. LLC	PHLEUM PRATENSE POLLEN; POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN; DACTYLIS GLOMERATA POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	222
TIAZAC	INJECTION	sanofi-aventis U.S. LLC	POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN; DACTYLIS GLOMERATA POLLEN; PHLEUM PRATENSE POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	221
Mestinon	"TABLET, FILM COATED"	sanofi-aventis U.S. LLC	CARYA OVATA POLLEN; CARYA ILLINOINENSIS POLLEN	"Benzothiazole [EPC],Benzothiazoles [Chemical/Ingredient]"	152
ONEXTON	"INJECTION, SOLUTION, CONCENTRATE"	sanofi-aventis U.S. LLC	ACER NEGUNDO POLLEN; ACER RUBRUM POLLEN	"Microtubule Inhibition [PE],Microtubule Inhibitor [EPC]"	156
Efudex	"INJECTION, SOLUTION, CONCENTRATE"	sanofi-aventis U.S. LLC	ASPERGILLUS NIGER VAR. NIGER; ASPERGILLUS REPENS; ASPERGILLUS FLAVUS VAR. ORYZAE; ASPERGILLUS TERREUS	"Microtubule Inhibition [PE],Microtubule Inhibitor [EPC]"	217
ANCOBON	INJECTION	sanofi-aventis U.S. LLC	COCHLIOBOLUS SATIVUS; CHAETOMIUM GLOBOSUM; GIBBERELLA ZEAE; MUCOR PLUMBEUS; PHOMA EXIGUA VAR. EXIGUA; RHIZOPUS ARRHIZUS VAR. ARRHIZUS	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	258
Librax	INJECTION	sanofi-aventis U.S. LLC	ALTERNARIA ALTERNATA; CLADOSPORIUM SPHAEROSPERMUM; ASPERGILLUS NIGER VAR. NIGER; ASPERGILLUS REPENS; ASPERGILLUS FLAVUS VAR. ORYZAE; ASPERGILLUS TERREUS; PENICILLIUM CHRYSOGENUM VAR. CHRYSOGENUM	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	318
Opium Tincture Deodorized	INJECTION	sanofi-aventis U.S. LLC	AMBROSIA ARTEMISIIFOLIA; AMBROSIA TRIFIDA POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	191
Seconal Sodium	INJECTION	sanofi-aventis U.S. LLC	"CRAB LEG, UNSPECIFIED; SHRIMP, UNSPECIFIED; LOBSTER, UNSPECIFIED; OYSTER, UNSPECIFIED"	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	217
Nitropress	INJECTION	sanofi-aventis U.S. LLC	XANTHIUM STRUMARIUM POLLEN; PLANTAGO LANCEOLATA POLLEN; CHENOPODIUM ALBUM POLLEN; IVA ANNUA POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	226
Amytal Sodium	INJECTION	sanofi-aventis U.S. LLC	ALTERNARIA ALTERNATA; ASPERGILLUS NIGER VAR. NIGER; CLADOSPORIUM SPHAEROSPERMUM	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	210
Isuprel	INJECTION	sanofi-aventis U.S. LLC	AUREOBASIDIUM PULLULANS VAR. PULLUTANS; CURVULARIA INAEQUALIS; GIBBERELLA ZEAE; MUCOR PLUMBEUS; RHIZOPUS ARRHIZUS VAR. ARRHIZUS	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	252
Pepcid	INJECTION	sanofi-aventis U.S. LLC	QUERCUS RUBRA POLLEN; QUERCUS ALBA POLLEN; QUERCUS VIRGINIANA POLLEN	"Heparin, Low-Molecular-Weight [Chemical/Ingredient],Low Molecular Weight Heparin [EPC]"	192
AcneFree Body Clearing	CAPSULE	"Star Pharmaceuticals, LLC"	PHLEUM PRATENSE POLLEN; DACTYLIS GLOMERATA POLLEN; POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS POLLEN; LOLIUM PERENNE POLLEN	"Oxidation-Reduction Agent [EPC],Oxidation-Reduction Activity [MoA],Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA]"	414
ELIDEL	TABLET	"Star Pharmaceuticals, LLC"	PHLEUM PRATENSE POLLEN; DACTYLIS GLOMERATA POLLEN; POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN; FESTUCA PRATENSIS POLLEN; LOLIUM PERENNE POLLEN; ANTHOXANTHUM ODORATUM POLLEN	"Ammonium Ion Binding Activity [MoA],Nitrogen Binding Agent [EPC],Oxidation-Reduction Agent [EPC],Oxidation-Reduction Activity [MoA]"	344
Xerese	TABLET	"Star Pharmaceuticals, LLC"	PHLEUM PRATENSE POLLEN; DACTYLIS GLOMERATA POLLEN; POA PRATENSIS POLLEN; AGROSTIS GIGANTEA POLLEN	"Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA],Oxidation-Reduction Agent [EPC],Oxidation-Reduction Activity [MoA]"	348
Ertaczo	CAPSULE	Star Pharmaceuticals LLC	XANTHIUM STRUMARIUM POLLEN; PLANTAGO LANCEOLATA POLLEN; CHENOPODIUM ALBUM POLLEN; ARTEMISIA VULGARIS ROOT; AMARANTHUS RETROFLEXUS POLLEN; RUMEX ACETOSELLA POLLEN; RUMEX CRISPUS POLLEN	"Osmotic Laxative [EPC],Increased Large Intestinal Motility [PE],Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],Osmotic Activity [MoA],Oxidation-Reduction Agent [EPC],Oxidation-Reduction Activity [MoA]"	435
